,0,1,2,3,4,5,6
358,10,1,0,18,172,272,2.30151102708
359,10,1,1,2,246,288,2.7986596836
360,10,1,1,6,209,284,2.43578962804
361,10,1,1,10,194,280,2.28952425783
362,10,1,1,14,181,276,2.13262367219
363,10,1,1,18,173,272,1.81647159002
364,10,1,2,2,245,288,2.61553782926
365,10,1,2,6,200,284,2.08772821555
366,10,1,2,10,188,280,2.02034312101
367,10,1,2,14,186,276,2.00887452986
368,10,1,2,18,174,272,1.85300177469
369,10,1,3,2,243,288,2.43949470333
370,10,1,3,6,194,284,1.94514841349
371,10,1,3,10,184,280,1.8514050386
372,10,1,3,14,179,276,1.77949610387
373,10,1,3,18,179,272,1.64104724361
374,10,1,4,2,236,288,2.44922785938
375,10,1,4,6,198,284,1.91661731261
376,10,1,4,10,184,280,1.79645801196
377,10,1,4,14,178,276,1.68452634795
378,10,1,4,18,172,272,1.59359667591
379,10,2,-1,2,104,164,0.451904088083
380,10,2,-1,6,105,160,0.823375467141
381,10,2,-1,10,98,157,0.922710639769
382,10,2,-1,14,107,154,1.30451151146
383,10,2,-1,18,100,150,1.21942132619
384,10,2,0,2,241,288,2.26630106392
385,10,2,0,6,192,284,1.96758020681
386,10,2,0,10,192,280,2.20147872397
387,10,2,0,14,186,276,2.23338380381
388,10,2,0,18,172,272,2.30151102708
389,10,2,1,2,249,288,2.86868189797
390,10,2,1,6,208,284,2.51865588969
391,10,2,1,10,189,280,2.51919997365
392,10,2,1,14,186,276,2.52460749652
393,10,2,1,18,177,272,2.23589477905
394,10,2,2,2,246,288,2.7986596836
395,10,2,2,6,209,284,2.43578962804
396,10,2,2,10,194,280,2.28952425783
397,10,2,2,14,181,276,2.13262367219
398,10,2,2,18,173,272,1.81647159002
399,10,2,3,2,245,288,2.59499815843
400,10,2,3,6,200,284,2.081689775
401,10,2,3,10,180,280,1.90351516279
402,10,2,3,14,175,276,1.77936379531
403,10,2,3,18,164,272,1.42226085039
404,10,2,4,2,245,288,2.61553782926
405,10,2,4,6,200,284,2.08772821555
406,10,2,4,10,188,280,2.02034312101
407,10,2,4,14,186,276,2.00887452986
408,10,2,4,18,174,272,1.85300177469
409,10,3,-2,2,577,933,2.82769909463
410,10,3,-2,6,571,929,3.50318466622
411,10,3,-2,10,558,925,3.47358178835
412,10,3,-2,14,558,921,3.48646012051
413,10,3,0,2,241,288,2.26630106392
414,10,3,0,6,192,284,1.96758020681
415,10,3,0,10,192,280,2.20147872397
416,10,3,0,14,186,276,2.23338380381
417,10,3,0,18,172,272,2.30151102708
418,10,3,1,2,249,288,2.77423827747
419,10,3,1,6,209,284,2.56043199742
420,10,3,1,10,196,280,2.67067213214
421,10,3,1,14,191,276,2.72279425318
422,10,3,1,18,182,272,2.52247350645
423,10,3,2,2,251,288,2.88712514969
424,10,3,2,6,207,284,2.48891018517
425,10,3,2,10,190,280,2.48440327574
426,10,3,2,14,190,276,2.40446701281
427,10,3,2,18,181,272,2.1182018551
428,10,3,3,2,246,288,2.7986596836
429,10,3,3,6,209,284,2.43578962804
430,10,3,3,10,194,280,2.28952425783
431,10,3,3,14,181,276,2.13262367219
432,10,3,3,18,173,272,1.81647159002
433,10,3,4,2,243,288,2.66623321309
434,10,3,4,6,205,284,2.23119473833
435,10,3,4,10,182,280,2.03428595692
436,10,3,4,14,173,276,1.89702717615
437,10,3,4,18,167,272,1.58747365751
438,10,4,-3,14,576,952,3.05983985572
439,10,4,-2,2,104,164,0.451904088083
440,10,4,-2,6,105,160,0.823375467141
441,10,4,-2,10,98,157,0.922710639769
442,10,4,-2,14,107,154,1.30451151146
443,10,4,-2,18,100,150,1.21942132619
444,10,4,-1,2,24,25,0.339530169801
445,10,4,-1,6,18,25,0.229081781777
446,10,4,-1,10,21,24,0.259917383916
447,10,4,-1,14,16,24,0.199311479829
448,10,4,-1,18,15,23,0.150945801602
449,10,4,0,2,241,288,2.26630106392
450,10,4,0,6,192,284,1.96758020681
451,10,4,0,10,192,280,2.20147872397
452,10,4,0,14,186,276,2.23338380381
453,10,4,0,18,172,272,2.30151102708
454,10,4,1,2,248,288,2.68084565451
455,10,4,1,6,209,284,2.48891466456
456,10,4,1,10,197,280,2.57344337602
457,10,4,1,14,189,276,2.68970685316
458,10,4,1,18,184,272,2.53499266196
459,10,4,2,2,249,288,2.86868189797
460,10,4,2,6,208,284,2.51865588969
461,10,4,2,10,189,280,2.51919997365
462,10,4,2,14,186,276,2.52460749652
463,10,4,2,18,177,272,2.23589477905
464,10,4,3,2,250,288,2.86666479729
465,10,4,3,6,211,284,2.50711302285
466,10,4,3,10,190,280,2.47934070864
467,10,4,3,14,188,276,2.41076385529
468,10,4,3,18,183,272,2.15604670688
469,10,4,4,2,246,288,2.7986596836
470,10,4,4,6,209,284,2.43578962804
471,10,4,4,10,194,280,2.28952425783
472,10,4,4,14,181,276,2.13262367219
473,10,4,4,18,173,272,1.81647159002
474,14,-3,4,18,568,946,7.82859568561
475,14,-2,3,10,551,916,5.46202154713
476,14,-2,3,14,559,912,6.4967067687
477,14,-2,3,18,545,908,7.46341842472
478,14,-2,4,2,181,282,1.55354376022
479,14,-2,4,6,175,278,2.42271645141
480,14,-2,4,10,170,274,3.35681840584
481,14,-1,2,2,181,282,1.55354376022
482,14,-1,2,6,175,278,2.42271645141
483,14,-1,2,10,170,274,3.35681840584
484,14,-1,3,2,17,23,0.376780988129
485,14,-1,3,6,19,23,1.09317404514
486,14,-1,3,10,20,23,1.28852257903
487,14,-1,3,14,21,23,1.39416368403
488,14,-1,3,18,23,23,1.83875477973
489,14,-1,4,2,17,22,0.390054832727
490,14,-1,4,6,18,22,1.06543152092
491,14,-1,4,10,19,22,1.24321543162
492,14,-1,4,14,20,22,1.33531305411
493,14,-1,4,18,22,22,1.75036719053
494,14,0,0,2,3,3,0.0361175488514
495,14,1,0,2,225,284,1.99505353097
496,14,1,0,6,193,280,1.75897596924
497,14,1,0,10,183,276,1.88389291206
498,14,1,0,14,170,272,1.72342980652
499,14,1,0,18,163,268,1.75242104429
500,14,1,1,2,231,284,2.40928931503
501,14,1,1,6,197,280,2.10484741416
502,14,1,1,10,190,276,1.93226785793
503,14,1,1,14,175,272,1.61304418378
504,14,1,1,18,166,268,1.49265936668
505,14,1,2,2,228,284,2.26469033377
506,14,1,2,6,193,280,1.95514286683
507,14,1,2,10,176,276,1.83183683409
508,14,1,2,14,164,272,1.63543370837
509,14,1,3,2,226,284,2.14173915755
510,14,1,3,6,187,280,1.77674616077
511,14,1,3,10,170,276,1.55609685939
512,14,1,4,2,218,284,1.97485294236
513,14,1,4,6,178,280,1.42614877346
514,14,2,-1,2,114,177,0.56570583227
515,14,2,-1,6,111,173,0.475115464988
516,14,2,-1,10,108,170,0.577977097032
517,14,2,-1,14,106,168,0.95459948781
518,14,2,-1,18,101,164,1.20470105058
519,14,2,0,2,225,284,1.99505353097
520,14,2,0,6,193,280,1.75897596924
521,14,2,0,10,183,276,1.88389291206
522,14,2,0,14,170,272,1.72342980652
523,14,2,0,18,163,268,1.75242104429
524,14,2,1,2,231,284,2.39182088439
525,14,2,1,6,199,280,2.1828960746
526,14,2,1,10,191,276,2.04076686133
527,14,2,1,14,172,272,1.66726184841
528,14,2,1,18,164,268,1.64049791449
529,14,2,2,2,231,284,2.40928931503
530,14,2,2,6,197,280,2.10484741416
531,14,2,2,10,190,276,1.93226785793
532,14,2,2,14,175,272,1.61304418378
533,14,2,2,18,166,268,1.49265936668
534,14,2,3,2,233,284,2.32615196655
535,14,2,3,6,191,280,2.04213922211
536,14,2,3,10,183,276,1.86871540436
537,14,2,3,14,165,272,1.56562839484
538,14,2,3,18,166,268,1.44969544866
539,14,2,4,2,228,284,2.26469033377
540,14,2,4,6,193,280,1.95514286683
541,14,2,4,10,176,276,1.83183683409
542,14,2,4,14,164,272,1.63543370837
543,14,3,0,2,225,284,1.99505353097
544,14,3,0,6,193,280,1.75897596924
545,14,3,0,10,183,276,1.88389291206
546,14,3,0,14,170,272,1.72342980652
547,14,3,0,18,163,268,1.75242104429
548,14,3,1,2,234,284,2.34528125536
549,14,3,1,6,193,280,2.1176668674
550,14,3,1,10,189,276,2.06876838845
551,14,3,1,14,175,272,1.71598766929
552,14,3,1,18,167,268,1.66105628821
553,14,3,2,2,235,284,2.44894362199
554,14,3,2,6,196,280,2.11532512885
555,14,3,2,10,185,276,1.89084537905
556,14,3,2,14,172,272,1.57464508389
557,14,3,2,18,163,268,1.50847378003
558,14,3,3,2,231,284,2.40928931503
559,14,3,3,6,197,280,2.10484741416
560,14,3,3,10,190,276,1.93226785793
561,14,3,3,14,175,272,1.61304418378
562,14,3,3,18,166,268,1.49265936668
563,14,3,4,2,235,284,2.36676480968
564,14,3,4,6,190,280,2.05321992701
565,14,3,4,10,183,276,1.84862449749
566,14,3,4,14,165,272,1.54719018918
567,14,3,4,18,167,268,1.42781161698
568,14,4,-2,2,114,177,0.56570583227
569,14,4,-2,6,111,173,0.475115464988
570,14,4,-2,10,108,170,0.577977097032
571,14,4,-2,14,106,168,0.95459948781
572,14,4,-2,18,101,164,1.20470105058
